family,setting,setting_value,selector,target_label,target_return,target_delta_q95,effective_target,n,replicate,pilot_size,noise_scale,selected_proxy,selected_real,selected_risk,behavior_logp,prompt_satisfaction_gap,support_gap_q95,unsafe_action_rate,mean_action,max_action
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,0,,0.32,9.14930071822454,7.896172935858023,0.010442731519720977,-4.62214992421709,0.16461364766608,3.0,0.75,0.7778137467792222,0.9221707460997415
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,1,,0.32,9.153393543067665,8.282206438013883,0.007259892542114854,-4.473042058942523,0.16052082282295466,3.0,0.75,0.7780193504566326,0.9248964985560002
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,2,,0.32,9.369529147190136,7.27336719316107,0.017468016283575565,-5.160228356363782,0.055614781299516025,3.0,0.6666666666666666,0.796984151963688,0.9862905464513463
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,3,,0.32,9.351689805444728,7.679130039220156,0.013937998051871424,-5.025760792360477,0.03777543955410856,3.0,0.75,0.7953467689200543,0.9519903454393603
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,4,,0.32,9.13722235548164,7.668994095920128,0.012235235496345932,-4.617830617246803,0.17669201040897953,3.0,0.6666666666666666,0.7767838364105066,1.002333573779032
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,5,,0.32,9.400457273336734,7.235434606264677,0.018041855558933808,-5.215375149544843,0.08654290744611437,3.0,0.8333333333333334,0.7996575895471604,1.1176394671900454
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,6,,0.32,9.275938749710203,8.438372056834162,0.006979722440633677,-4.6767256321008945,0.03797561618041634,3.0,1.0,0.7885989511101653,0.8890613217425197
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,7,,0.32,9.238699067642601,8.434981432338192,0.006697646960870073,-4.614475758947232,0.07521529824801831,3.0,0.9166666666666666,0.7853838356765346,0.8663901400546618
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,8,,0.32,9.405628448834225,8.043466769823297,0.011351347325091056,-5.0324773447746205,0.09171408294360539,3.0,0.8333333333333334,0.7999258272280255,0.9542467814812613
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,9,,0.32,9.330997661920104,7.846284951340838,0.012372605921493885,-4.945582252155606,0.017083296029484885,3.0,0.8333333333333334,0.7935176619932952,0.9733123987588839
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,10,,0.32,9.166569902603648,8.37796271531677,0.006571726560723958,-4.493318999905398,0.14734446328697182,3.0,0.9166666666666666,0.7791559725861399,0.8555398847265753
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,11,,0.32,9.362941680114496,7.813150958321638,0.012914922681607129,-5.011468578379133,0.04902731422387596,3.0,0.6666666666666666,0.7962871543731086,0.95254949085674
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,12,,0.32,9.318470333367225,7.739153199191369,0.013160976118132134,-4.949986038065652,0.00455596747660536,3.0,0.75,0.7924597356454796,0.9370217153284034
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,13,,0.32,9.345640509331782,7.703702679093205,0.013682815251988162,-5.009707530859417,0.03172614344116198,3.0,0.75,0.7948189627612621,0.9388536489038314
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,14,,0.32,9.179316301368232,8.069407150816371,0.009249242921265501,-4.576800343486405,0.13459806452238787,3.0,0.6666666666666666,0.7803137265299086,0.9345153831020683
