family,setting,setting_value,selector,target_label,target_return,target_delta_q95,effective_target,n,pilot_size,noise_scale,count,selected_proxy_mean,selected_proxy_std,selected_real_mean,selected_real_std,selected_risk_mean,selected_risk_std,behavior_logp_mean,behavior_logp_std,prompt_satisfaction_gap_mean,prompt_satisfaction_gap_std,support_gap_q95_mean,support_gap_q95_std,unsafe_action_rate_mean,unsafe_action_rate_std,mean_action_mean,mean_action_std,max_action_mean,max_action_std
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,,0.32,42,9.282993607834001,0.07186350141201195,7.887742902065552,0.33963956822179764,0.011627089214737067,0.0030615528838032996,-4.840630901080478,0.18275344128005608,0.06341142280504557,0.04581972906761876,3.0,0.0,0.7797619047619048,0.0941781292563954,0.7893501051829026,0.00624363290512375,0.9449209605538207,0.056514007074236185
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,2,,0.32,42,9.350549779912127,0.0634013952178911,7.791165272289285,0.3655143301298738,0.012994870896857016,0.003235555127371312,-4.998769553022746,0.1726011979573763,0.058605839772864175,0.0439004102557124,3.0,0.0,0.8095238095238095,0.0662829090813098,0.7952250736425003,0.005511238067007721,0.9582699465904794,0.052995227155504844
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,4,,0.32,42,9.383529122621455,0.04619385401055086,7.573855762823732,0.535392033202458,0.015077914086693525,0.0046004220899703695,-5.117349280178594,0.18724853546056472,0.07024560053652318,0.045228775224462524,3.0,0.0,0.7896825396825397,0.08380441302358287,0.7981316676288169,0.004044439615792839,0.9881261410276517,0.07565601264526839
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,8,,0.32,42,9.409975172657457,0.037020549583878536,7.592865515223991,0.5058015029697953,0.015142095977902816,0.004334133507438635,-5.164530524031643,0.16563764715253007,0.09606080676683798,0.037020549583878536,3.0,0.0,0.8095238095238095,0.08584645893961879,0.8004177899979726,0.003245318045203351,0.9904272277359703,0.0787826257189019
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,16,,0.32,42,9.433006101198558,0.0392339147161184,7.439402352470116,0.48298838905768726,0.016610796504239224,0.004171517561583179,-5.2481826755915755,0.16779872065601012,0.11909173530793778,0.0392339147161184,3.0,0.0,0.8015873015873015,0.07031763947091013,0.8024483284100938,0.0034469812253312884,1.0084511650097583,0.07007992008634527
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,32,,0.32,42,9.438519789716205,0.030217674300070357,7.4905039766858295,0.43281456309302224,0.01623335977768087,0.003722349811307544,-5.242298944453631,0.14263765104406684,0.12460542382558418,0.030217674300070357,3.0,0.0,0.8115079365079365,0.06571625064158411,0.8029101397164062,0.002659858395965736,1.0072439941578604,0.07115297938745566
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,64,,0.32,42,9.468724749551088,0.032272929467413704,7.352951505076664,0.556867394399474,0.017627565158177726,0.004711807484386147,-5.336143267873969,0.16766609951171502,0.15481038366046657,0.032272929467413704,3.0,0.0,0.7916666666666666,0.07552724726458049,0.8055584898331135,0.002833079534921354,1.021155025992575,0.08797178827122766
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,128,,0.32,42,9.48300904771055,0.03364853253335781,7.38017892218492,0.41669323108270206,0.017523584379380234,0.0035551873665515803,-5.363085896853329,0.14349334222361368,0.1690946818199286,0.033648532533357804,3.0,0.0,0.8134920634920636,0.07455672312720608,0.8067948856261964,0.002942121432048618,1.0201762784973605,0.06151883368831209
candidate_count_256,candidate_count,Nmax256,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,256,,0.32,42,9.507036299125076,0.033670243827029066,7.258342830012636,0.6032914633575188,0.01873732557122447,0.005065987053930832,-5.436742249032146,0.17019918338899237,0.19312193323445728,0.033670243827029066,3.0,0.0,0.8035714285714287,0.0905988099748482,0.8089004164356617,0.002934140044494493,1.0316564465530536,0.08389224508102061
noise_sweep,noise_scale,0.16,naive,out_of_support,9.31391436589062,3.0,9.31391436589062,1,,0.16,42,9.308144948821834,0.053242102994171515,8.032486178649474,0.31427636519566743,0.010630489751436342,0.002800519692066105,-4.847362863194713,0.15085148138892363,0.04108794250111526,0.03434805213662918,3.0,0.0,0.8452380952380951,0.07622766949324819,0.7914885541495564,0.0046356265342998755,0.9339877501691805,0.056150623887139026
